,Speciality,address,clinic,doctor-name,doctor_image,telephone
0,['Ambulance'],"No. 4A, Jalan Lembah 19, Bandar Seri Alam, 81750 Masai, Johor",Lifesaver Ambulance Johor,['Dr Lifesaver Ambulance Johor'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+6019 999 5800
1,"['Ear, Nose & Throat (ENT)', 'Eye - Ophthalmologist', '', 'Geriatrician - Elderly Health, Physician (Internal Medicine)', 'General Surgeon', 'Obstetrician & Gynaecologist', 'Gastroenterologist - Gut, Physician (Internal Medicine)', 'Ear, Nose & Throat (ENT)', 'General Surgeon, Vascular Surgeon', 'Obstetrician & Gynaecologist']","Evesuite@Ara Damansara, A-1-01, Jln PJU 1/41A Ara Damansara, 47301 Petaling Jaya, Selangor.",[Qualitas Health] Ambulatory Care Centre @ ACC Evesuite Medical Centre,"['Datin Dr Omkara Rubini Lingham', 'Dr Asokumaran A/L Thanaraj', 'Dr Chua Wei Siong', 'Dr Gordon Pang Hwa', 'Dr Muhammad Daniel Soma Kumar Bin Abdullah', 'Dr Muhammad Niraj Bin Muhammad Feizal', 'Dr Sandev Singh', 'Dr Shereen Shoba A/P Devaraj Nair', 'Dr Vijeyasingam Rajasingam', 'Dr Vishalkumar Dalichand']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNjAzYzc1N2Q5NDk4NC5qcGVn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNjAzYzc2NDYwNmMzMi5qcGVn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNjAzYzc1ZmU4YjVjZi5KUEc=', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+603 7886 4916
2,['GP/Family Doctor'],"No. A-5, Jalan Stadium, 25000 Kuantan",[Qualitas Health] Ananda Klinik,['Dr. Raj Kumar David'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+09-5138 175
3,['GP/Family Doctor'],"Bangsar Lot G116, Ground Floor, Bangsar Shopping Centre, 258 Jln Maarof, 59000 Kuala Lumpur.",[Qualitas Health] Clinic @ Bangsar,['SUMAM MARY JOHN'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-2011 4336
4,['GP/Family Doctor'],"70-01-64, Level One, D’Piazza Mall, Jalan Mahsuri, 11960 Bandar Bayan Baru",[Qualitas Health] Klinik Aman (Bandar Bayan Baru),['Dr Ho Yuen Yu'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+04-6452793
5,['GP/Family Doctor'],"11, Jalan Sultan Azlan Shah, Minden Heights, 11700 Gelugor, Pulau Pinang",[Qualitas Health] Klinik Aman (Gelugor),['Dr Siva Ravoo Simandry'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+04-6581361
6,"['GP/Family Doctor', 'GP/Family Doctor']","603, Jalan Dato Keramat, George Town, 10460 George Town, Pulau Pinang",[Qualitas Health] Klinik Aman (George Town),"['Dr Harinder Kaur', 'Dr Rabinder Singh Gill']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+04-2291103
7,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","1106 Persiaran Raja Muda Musa, 41160 Klang",[Qualitas Health] Klinik Anis (Klang),"['Dr A. Rani A.Arokiasamy', 'Dr Susila Raman Nair', 'Dr. Husna Hanin Binti Abd Rahim', 'Dr. Indra Sinnadurai', 'Dr. Keshab Chandran Nair']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+03-3373 1584
8,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","No.17, Jalan Bunga Melur 2/18, Section 2, Shah Alam, 40000, Selangor Darul Ehsan",[Qualitas Health] Klinik Anis (Section 2),"['Dr A. Rani A.Arokiasamy', 'Dr Muhammad Gowdh Bin Mohammed Jaafar', 'Dr Susila Raman Nair', 'Dr. Husna Hanin Binti Abd Rahim', 'Dr. Indra Sinnadurai', 'Dr. Keshab Chandran Nair']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+03-5510 3840
9,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","Suite 1.5, Level 1, Wisma Drb-hocam, No.2, Jalan Usahawan U1/8, Section 1, Shah Alam, 40150, Selangor Darul Ehsan",[Qualitas Health] Klinik Anis (Wisma DRB-HICOM),"['Dr Susila Raman Nair', 'Dr. Husna Hanin Binti Abd Rahim', 'Dr. Indra Sinnadurai', 'Dr. Keshab Chandran Nair']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+03-2052 8880
